open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_by_qav,taker_by_bav,ignored
2018-12-01 00:00:00+00:00,172.800000000,178.580000000,166.960000000,172.930000000,27786.245740000,2018-12-01 23:59:59.999000+00:00,4825620.191661200,12897.000000000,19379.382150000,3371516.464477100,0.000000000
2018-12-02 00:00:00+00:00,172.640000000,180.560000000,169.710000000,171.790000000,20425.982790000,2018-12-02 23:59:59.999000+00:00,3564972.946316900,12914.000000000,9543.550020000,1667799.102456500,0.000000000
2018-12-03 00:00:00+00:00,172.060000000,172.560000000,156.000000000,158.670000000,17709.010820000,2018-12-03 23:59:59.999000+00:00,2884834.513153600,10314.000000000,8286.598550000,1349089.757430500,0.000000000
2018-12-04 00:00:00+00:00,158.670000000,159.970000000,146.580000000,148.590000000,27149.060680000,2018-12-04 23:59:59.999000+00:00,4146687.307313400,14831.000000000,12333.267360000,1885189.998761700,0.000000000
2018-12-05 00:00:00+00:00,148.710000000,148.820000000,129.500000000,130.050000000,36734.088190000,2018-12-05 23:59:59.999000+00:00,5084642.476882800,19469.000000000,17962.832260000,2485306.841431300,0.000000000
2018-12-06 00:00:00+00:00,130.080000000,132.490000000,106.490000000,106.690000000,73297.529530000,2018-12-06 23:59:59.999000+00:00,8797414.603821600,34819.000000000,33714.103830000,4047175.561259900,0.000000000
2018-12-07 00:00:00+00:00,106.620000000,120.000000000,95.840000000,104.660000000,242595.631500000,2018-12-07 23:59:59.999000+00:00,25306651.725466002,60654.000000000,111843.060680000,11666967.373494200,0.000000000
2018-12-08 00:00:00+00:00,104.940000000,109.810000000,95.500000000,99.950000000,94455.362170000,2018-12-08 23:59:59.999000+00:00,9576586.094630901,31638.000000000,48516.991310000,4930965.995217500,0.000000000
2018-12-09 00:00:00+00:00,99.800000000,110.450000000,98.400000000,106.560000000,139262.616200000,2018-12-09 23:59:59.999000+00:00,14735417.137552600,36194.000000000,71373.898530000,7546453.788653100,0.000000000
2018-12-10 00:00:00+00:00,106.510000000,108.720000000,99.630000000,102.170000000,46637.081120000,2018-12-10 23:59:59.999000+00:00,4807667.831040900,14136.000000000,22283.145690000,2292991.419004800,0.000000000
