open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_by_qav,taker_by_bav,ignored
2018-12-01 00:00:00+00:00,0.042839000,0.042839000,0.040963000,0.041263000,17849.438000000,2018-12-01 23:59:59.999000+00:00,745.315286770,12987.000000000,7485.617000000,312.824983250,0.000000000
2018-12-02 00:00:00+00:00,0.041212000,0.043100000,0.040878000,0.041283000,18195.413000000,2018-12-02 23:59:59.999000+00:00,758.553389240,14587.000000000,9561.366000000,398.723688680,0.000000000
2018-12-03 00:00:00+00:00,0.041285000,0.041727000,0.040322000,0.040853000,19405.526000000,2018-12-03 23:59:59.999000+00:00,796.421949040,12887.000000000,8487.231000000,348.345403470,0.000000000
2018-12-04 00:00:00+00:00,0.040858000,0.040899000,0.037414000,0.037592000,31990.173000000,2018-12-04 23:59:59.999000+00:00,1241.447289930,20754.000000000,14313.132000000,555.524189410,0.000000000
2018-12-05 00:00:00+00:00,0.037591000,0.037720000,0.034413000,0.034545000,74147.561000000,2018-12-05 23:59:59.999000+00:00,2656.813408650,35492.000000000,38630.943000000,1383.022899170,0.000000000
2018-12-06 00:00:00+00:00,0.034509000,0.034733000,0.030028000,0.030480000,115219.878000000,2018-12-06 23:59:59.999000+00:00,3686.035727490,57397.000000000,55303.620000000,1767.531749810,0.000000000
2018-12-07 00:00:00+00:00,0.030427000,0.034822000,0.028566000,0.030812000,229759.453000000,2018-12-07 23:59:59.999000+00:00,7051.884194270,88191.000000000,118846.979000000,3643.359263260,0.000000000
2018-12-08 00:00:00+00:00,0.030812000,0.031564000,0.028649000,0.029300000,75179.465000000,2018-12-08 23:59:59.999000+00:00,2240.609915710,35555.000000000,33520.284000000,1001.243066350,0.000000000
2018-12-09 00:00:00+00:00,0.029250000,0.031680000,0.028702000,0.030045000,95808.510000000,2018-12-09 23:59:59.999000+00:00,2909.608186830,40216.000000000,45928.717000000,1396.465086860,0.000000000
2018-12-10 00:00:00+00:00,0.030038000,0.030244000,0.029106000,0.029751000,42666.720000000,2018-12-10 23:59:59.999000+00:00,1260.438782090,19183.000000000,18712.615000000,552.879213600,0.000000000
2018-12-11 00:00:00+00:00,0.029751000,0.029751000,0.027874000,0.028491000,36398.310000000,2018-12-11 23:59:59.999000+00:00,1043.671895860,16884.000000000,15365.283000000,440.800820480,0.000000000
2018-12-12 00:00:00+00:00,0.028528000,0.028804000,0.027977000,0.028131000,32089.464000000,2018-12-12 23:59:59.999000+00:00,910.276526450,12176.000000000,14470.663000000,410.593837420,0.000000000
2018-12-13 00:00:00+00:00,0.028133000,0.028524000,0.026403000,0.026584000,48217.771000000,2018-12-13 23:59:59.999000+00:00,1336.908408950,19432.000000000,24213.820000000,671.146354230,0.000000000
2018-12-14 00:00:00+00:00,0.026590000,0.027000000,0.024080000,0.024829000,93902.781000000,2018-12-14 23:59:59.999000+00:00,2400.073129730,35779.000000000,46641.294000000,1191.407599770,0.000000000
2018-12-15 00:00:00+00:00,0.024837000,0.025197000,0.023417000,0.023900000,54907.272000000,2018-12-15 23:59:59.999000+00:00,1329.061055780,32396.000000000,28337.951000000,686.155410440,0.000000000
2018-12-16 00:00:00+00:00,0.023899000,0.025626000,0.023828000,0.024701000,72431.776000000,2018-12-16 23:59:59.999000+00:00,1794.595779160,30049.000000000,37980.726000000,940.899782490,0.000000000
2018-12-17 00:00:00+00:00,0.024701000,0.025891000,0.024401000,0.025084000,107273.461000000,2018-12-17 23:59:59.999000+00:00,2684.664258830,40897.000000000,53359.147000000,1337.098857780,0.000000000
2018-12-18 00:00:00+00:00,0.025095000,0.029590000,0.024451000,0.028337000,186129.936000000,2018-12-18 23:59:59.999000+00:00,5082.047135870,87205.000000000,99515.691000000,2716.951371790,0.000000000
2018-12-19 00:00:00+00:00,0.028380000,0.038283000,0.027790000,0.034253000,432480.227000000,2018-12-19 23:59:59.999000+00:00,14284.176727050,217653.000000000,221108.976000000,7294.921999740,0.000000000
